ISD91230, n:47,time:17667, packet type:1, length:13, seq:0, unkbit:1, unk:32, crc:B99D, calccrc:B99D, valid:1, Raw:0x5AA50D0100FFA0040004009DB9
ISD91230, n:48,time:17668, packet type:9, length:12, seq:0, unkbit:1, unk:0, crc:A3F3, calccrc:A3F3, valid:1, Raw:0x5AA50C0900FF80000B74F3A3
ISD91230, n:49,time:17668, packet type:0, length:10, seq:0, unkbit:1, unk:0, crc:8577, calccrc:8577, valid:1, Raw:0x5AA50A0000FF80007785
ISD91230, n:50,time:17668, packet type:1, length:23, seq:0, unkbit:1, unk:1, crc:113B, calccrc:113B, valid:1, Raw:0x5AA5170100FF8100000000000000000000000000003B11
ISD91230, n:51,time:17669, packet type:1, length:13, seq:1, unkbit:1, unk:32, crc:0D96, calccrc:0D96, valid:1, Raw:0x5AA50D0101FFA00C000C00960D
ISD91230, n:52,time:17669, packet type:9, length:12, seq:0, unkbit:1, unk:0, crc:A3F3, calccrc:A3F3, valid:1, Raw:0x5AA50C0900FF80000B74F3A3
ISD91230, n:53,time:17670, packet type:0, length:10, seq:0, unkbit:1, unk:0, crc:8577, calccrc:8577, valid:1, Raw:0x5AA50A0000FF80007785
ISD91230, n:54,time:17670, packet type:1, length:23, seq:1, unkbit:1, unk:1, crc:01D9, calccrc:01D9, valid:1, Raw:0x5AA5170101FF810000000000000000000000000000D901
ISD91230, n:55,time:17672, packet type:3, length:23, seq:0, unkbit:1, unk:32, crc:0C1A, calccrc:0C1A, valid:1, Raw:0x5AA5170300FFA000000000020000000000000000001A0C
ISD91230, n:56,time:17674, packet type:1, length:13, seq:2, unkbit:1, unk:32, crc:CDC0, calccrc:CDC0, valid:1, Raw:0x5AA50D0102FFA01C001C00C0CD
ISD91230, n:57,time:17675, packet type:9, length:12, seq:0, unkbit:1, unk:0, crc:A3F3, calccrc:A3F3, valid:1, Raw:0x5AA50C0900FF80000B74F3A3
ISD91230, n:58,time:17676, packet type:0, length:10, seq:0, unkbit:1, unk:0, crc:8577, calccrc:8577, valid:1, Raw:0x5AA50A0000FF80007785
ISD91230, n:59,time:17676, packet type:1, length:23, seq:2, unkbit:1, unk:1, crc:30FF, calccrc:30FF, valid:1, Raw:0x5AA5170102FF810000000000000000000000000000FF30
ISD91230, n:60,time:17679, packet type:3, length:23, seq:0, unkbit:1, unk:32, crc:7FA5, calccrc:7FA5, valid:1, Raw:0x5AA5170300FFA00000000004000000000000000000A57F
ISD91230, n:61,time:17681, packet type:1, length:13, seq:3, unkbit:1, unk:32, crc:4409, calccrc:4409, valid:1, Raw:0x5AA50D0103FFA03C003C000944
ISD91230, n:62,time:17682, packet type:9, length:12, seq:0, unkbit:1, unk:0, crc:A3F3, calccrc:A3F3, valid:1, Raw:0x5AA50C0900FF80000B74F3A3
ISD91230, n:63,time:17683, packet type:0, length:10, seq:0, unkbit:1, unk:0, crc:8577, calccrc:8577, valid:1, Raw:0x5AA50A0000FF80007785
ISD91230, n:64,time:17684, packet type:1, length:23, seq:3, unkbit:1, unk:1, crc:201D, calccrc:201D, valid:1, Raw:0x5AA5170103FF8100000000000000000000000000001D20
ISD91230, n:65,time:17686, packet type:3, length:23, seq:0, unkbit:1, unk:32, crc:A12F, calccrc:A12F, valid:1, Raw:0x5AA5170300FFA000000000060000000000000000002FA1
ISD91230, n:66,time:17688, packet type:1, length:13, seq:4, unkbit:1, unk:32, crc:3E1D, calccrc:3E1D, valid:1, Raw:0x5AA50D0104FFA07C007C001D3E
ISD91230, n:67,time:17689, packet type:9, length:12, seq:0, unkbit:1, unk:0, crc:A3F3, calccrc:A3F3, valid:1, Raw:0x5AA50C0900FF80000B74F3A3
ISD91230, n:68,time:17690, packet type:0, length:10, seq:0, unkbit:1, unk:0, crc:8577, calccrc:8577, valid:1, Raw:0x5AA50A0000FF80007785
ISD91230, n:69,time:17691, packet type:1, length:23, seq:4, unkbit:1, unk:1, crc:52B3, calccrc:52B3, valid:1, Raw:0x5AA5170104FF810000000000000000000000000000B352
ISD91230, n:70,time:17693, packet type:3, length:23, seq:0, unkbit:1, unk:33, crc:3627, calccrc:3627, valid:1, Raw:0x5AA5170300FFA100000000080000000000000000002736
ISD91230, n:71,time:17695, packet type:1, length:13, seq:5, unkbit:1, unk:32, crc:40DC, calccrc:40DC, valid:1, Raw:0x5AA50D0105FFA0FC00FC00DC40
ISD91230, n:72,time:17696, packet type:9, length:12, seq:0, unkbit:1, unk:0, crc:A3F3, calccrc:A3F3, valid:1, Raw:0x5AA50C0900FF80000B74F3A3
ISD91230, n:73,time:17697, packet type:0, length:10, seq:0, unkbit:1, unk:0, crc:8577, calccrc:8577, valid:1, Raw:0x5AA50A0000FF80007785
ISD91230, n:74,time:17698, packet type:1, length:23, seq:5, unkbit:1, unk:1, crc:4251, calccrc:4251, valid:1, Raw:0x5AA5170105FF8100000000000000000000000000005142
ISD91230, n:75,time:17700, packet type:3, length:23, seq:0, unkbit:1, unk:33, crc:E8AD, calccrc:E8AD, valid:1, Raw:0x5AA5170300FFA1000000000A000000000000000000ADE8
ISD91230, n:76,time:17762, packet type:1, length:13, seq:6, unkbit:1, unk:32, crc:56D1, calccrc:56D1, valid:1, Raw:0x5AA50D0106FFA0FF00FF00D156
ISD91230, n:77,time:17762, packet type:9, length:12, seq:0, unkbit:1, unk:0, crc:A3F3, calccrc:A3F3, valid:1, Raw:0x5AA50C0900FF80000B74F3A3
ISD91230, n:78,time:17763, packet type:0, length:10, seq:0, unkbit:1, unk:0, crc:8577, calccrc:8577, valid:1, Raw:0x5AA50A0000FF80007785
